UserID,No Of Abuse Report,No Of Rejected Friend Requests,No Of Freind Requests Thar Are Not Accepted,No Of Friends,No Of Followers,No Of Likes To Unknown Account,No Of Comments Per Day,Fake Or Not Category
1,37,415,204,290,838,26,53,1
2,63,383,542,652,349,37,58,1
3,10,151,244,863,271,73,11,1
4,83,54,604,496,937,37,55,1
5,47,834,326,401,928,80,78,1
6,14,585,199,592,420,9,95,0
7,74,452,168,846,392,36,19,1
8,1,166,994,945,165,46,85,0
9,69,247,51,568,245,1,9,1
10,77,792,872,998,306,56,52,1
11,76,855,371,332,585,42,1,1
12,24,656,673,353,816,88,15,1
13,59,312,876,708,122,23,54,1
14,93,511,890,943,481,15,29,1
15,25,289,803,85,836,21,37,0
16,6,960,809,45,388,65,72,1
17,76,528,543,661,25,89,99,1
18,53,447,759,780,285,33,96,1
19,12,834,936,449,287,35,3,0
20,40,502,579,808,258,35,7,1
21,84,62,356,662,577,10,18,1
22,88,130,136,369,196,66,9,1
23,26,470,678,83,109,47,14,0
24,62,15,928,471,585,57,14,1
25,50,57,103,697,950,19,12,1
26,78,520,27,233,25,60,11,1
27,46,270,506,606,262,83,55,1
28,70,318,288,458,205,2,36,1
29,56,58,50,849,911,54,92,1
30,5,225,305,387,449,25,14,0
31,67,316,631,573,939,52,36,1
32,64,974,163,271,396,47,98,1
33,75,165,278,462,542,36,75,1
34,89,909,762,569,223,30,26,1
35,19,543,387,488,578,3,70,0
36,4,561,171,101,165,20,59,0
37,47,492,918,115,302,37,24,1
38,14,885,374,952,756,69,1,1
39,2,625,897,985,743,17,36,0
40,64,197,239,853,84,60,3,1
41,99,885,116,709,735,94,11,1
42,37,667,414,533,340,97,98,1
43,74,953,670,120,150,64,77,1
44,92,361,180,458,385,45,77,1
45,55,714,447,823,578,75,52,1
46,84,549,425,726,975,54,68,1
47,40,839,77,194,357,75,97,1
48,16,1000,558,834,939,57,89,1
49,51,865,59,806,313,11,67,1
50,28,624,643,742,427,42,53,0
51,36,620,992,776,726,17,58,1
52,63,27,390,447,711,25,41,1
53,49,183,964,546,950,14,72,1
54,21,694,749,868,502,46,55,0
55,32,872,256,167,905,34,83,1
56,89,912,106,256,358,7,25,1
57,89,258,517,548,86,71,87,1
58,5,893,88,639,178,44,50,0
59,17,169,965,960,751,52,43,1
60,100,165,913,989,258,91,25,1
61,28,44,906,34,501,81,66,1
62,2,968,490,49,71,49,37,0
63,99,109,844,598,368,37,21,1
64,52,716,852,416,38,75,29,1
65,45,127,85,530,448,90,59,1
66,51,681,236,476,610,88,2,1
67,13,672,39,862,164,34,55,0
68,34,871,239,837,511,73,50,1
69,14,838,173,550,896,58,30,1
70,92,63,173,518,378,40,97,1
71,32,602,127,626,798,26,1,1
72,97,341,686,26,83,13,65,1
73,89,196,968,655,600,40,72,1
74,8,610,584,607,847,50,72,0
75,7,902,836,264,843,59,7,1
76,61,879,65,174,882,99,78,1
77,34,412,868,507,614,54,48,1
78,44,597,89,847,488,12,26,1
79,6,989,31,186,435,100,40,1
80,34,857,510,883,981,53,1,1
81,56,846,53,380,888,78,73,1
82,9,656,870,877,239,87,10,1
83,44,48,289,90,116,98,71,1
84,10,305,870,978,854,46,15,0
85,91,281,986,597,693,74,64,1
86,90,95,875,128,371,65,82,1
87,79,874,901,312,782,12,90,1
88,68,966,65,419,507,68,76,1
89,5,338,794,521,634,19,50,0
90,2,176,322,271,198,25,24,0
91,23,393,718,603,456,80,13,1
92,73,374,524,256,982,65,97,1
93,23,352,272,960,955,28,29,0
94,53,678,689,876,607,53,42,1
95,49,524,483,739,308,51,63,1
96,36,36,379,150,584,26,76,1
97,62,421,596,41,191,69,86,1
98,82,892,843,371,184,31,81,1
